feature_ID,Z_statistic,p_value,median_pacientes,median_sanos,mean_pacientes,mean_sanos,significativo_0_05
159,2.551672131892678,0.01072073523535388,0.1403926123115153,0.1049739511832662,0.2726782237529652,0.1728971893127753,True
87,2.453013455439886,0.01416650394552932,0.07350329668414605,0.05342665349888899,0.179042065308133,0.06935100952134379,True
131,-2.421622058386725,0.01545141106314257,0.0,0.9999999999999506,0.3589743589743412,0.6666666666666337,True
3,-2.327447867227241,0.01994144061987385,0.8089000460948383,0.8277451020512706,0.7955098131481753,0.8228163074324311,True
93,2.291571984880771,0.02193035361445522,0.06030671869680466,0.05188081409523831,0.1618044671131606,0.0594999210990072,True
40,2.112192573148421,0.03466993528230681,0.6655428696286468,0.2753166702874241,0.5399731548330704,0.377217250125812,True
68,-2.094254631975186,0.03623730342880094,0.3081813485274755,0.3789913944000678,0.3498727714904217,0.3613169145667924,True
41,2.071832205508642,0.0382810921270392,0.9999999999999084,0.7951056540156752,0.8437762901279404,0.716640959470402,True
32,-2.049409779042099,0.04042206181031925,0.2905932767155125,0.3710138850937678,0.346902100493824,0.3497039928017854,True
62,-1.986626984935776,0.04696374854626904,0.286765963187641,0.3571831423702415,0.3351994400926564,0.3428666846168689,True
29,1.964204558469232,0.04950637439853124,0.4939208037328529,0.4939208037328529,0.5654799705166492,0.4510291724894566,True
23,-1.919359705536145,0.0549388267298631,0.4078197333655683,0.4078197333655683,0.3892575130624604,0.4285588973724594,False
74,-1.905906249656219,0.05666237007448905,0.2971249261823344,0.3635294965576751,0.3359679507812589,0.3425461279440056,False
37,-1.887968308482984,0.05903020511079136,0.6370296931641081,0.7241905993691976,0.6058295297106308,0.6815718279740509,False
110,-1.887968308482984,0.05903020511079136,0.3090098242483607,0.372414217540025,0.3528484275367796,0.3636725036138458,False
38,-1.887968308482984,0.05903020511079136,0.2695431048240751,0.3332901584255558,0.3170039591681592,0.3181250268583412,False
122,-1.861061396723131,0.0627355068784746,0.3106528087571783,0.3796068598384557,0.3553872208008923,0.3680462478462294,False
6,1.843123455549896,0.06531098743285509,0.008779386880088915,0.002914490442306519,0.02025909769138021,0.06221655773600806,False
116,-1.843123455549896,0.06531098743285509,0.3117468910754106,0.3774183178688595,0.3562995822146707,0.3676899434816238,False
